Vase Number, Decoration,Date,Technique,Provenance,Longitude,Latitude
217589,"A: ATHENA WITH PHIALE AND KEKROPS WITH SCEPTRE, SHEEP AND PHIALE, DAUGHTERS OF KEKROPS, GODDESS SEATED ON POST WITH HELMET AND SHIELD, DEVICE, GORGONEION, HERMES, WOMEN, SEATED, WITH OINOCHOE, AT VOLUTE KRATER, POSEIDON RECLINING, KING (ERECHTHEUS ?) SEATED ON CHAIR, BASKET OF ERICHTHONIOS, TREE, INCENSE BURNER, TRIPOD, TABLE, EROS AND HIMEROS WITH OINOCHOE AND TRAY WITH FRUITS | B: HERAKLES AND THE BULL, ATHENA SEATED, HOLDING FRUIT (?), NIKAI, ONE FLYING WITH WREATH, ONE LEANING ON SHIELD, DEVICE, WREATH, APOLLO SEATED WITH LAUREL, WOMAN, TREES",-425 to -375,RED-FIGURE,SICILY,,
218154,A: EUROPA | B: DRAPED YOUTHS,-400 to -300,RED-FIGURE,"ITALY, SPINA",12.108186,44.697575]
218249,"A: EUROPA RIDING BULL, HERMES, SATYR WITH ANIMAL SKIN | B: YOUTHS",-400 to -300,RED-FIGURE,"ITALY, SPINA",12.108186,44.697575]
302365,"BD: EUROPA RIDING BULL, HERMES, WOMAN WITH VINE (SPRIGS ?)",-550 to -500,BLACK-FIGURE,,,
302945,A: HERAKLES AND ANTAIOS | B: EUROPA OR MAENAD RIDING ON BULL,-550 to -500,BLACK-FIGURE,"ITALY, CHIUSI",11.949059,43.015733
303205,BD: EUROPA AND THE BULL,-550 to -500,BLACK-FIGURE,,,
303399,"A: EUROPA ON BULL, HERMES | B: EUROPA ON BULL",-550 to -500,BLACK-FIGURE,,,
305663,"BD: EUROPA RIDING BULL, SEA, WOMEN FLEEING",-525 to -475,BLACK-FIGURE,,,
351659,"BD: EUROPA ON BULL, TREE",-525 to -475,BLACK-FIGURE,GREECE,,
390274,BD: EUROPA ON THE BULL,-525 to -475,BLACK-FIGURE,,,
390502,BD: EUROPA RIDING ON THE BULL,-525 to -475,BLACK-FIGURE,,,
1012144,"A: WOMAN RIDING ON BULL OVER SEA, FISH (?) (EUROPA)",-400 to -300,RED-FIGURE,"RUSSIA, SOUTH, KERCH",36.471111,45.361944
1012708,"BD: GRYPOMACHY, ORIENTALS ON HORSE, ONE WITH STONE, AND GRIFFINS, SHIELD DEVICE, SNAKE",,RED-FIGURE,"BOEOTIA, HALAI, CEMETERY, GRAVE 87",23.193751,38.653765
9003745,LD: YOUTH SEATED ON CLOTH,-425 to -375,RED-FIGURE,"RUSSIA, SOUTH, KERCH, MT. MITHRIDATES",36.4701,45.3507
9003746,"LD: MAENADS, ONE WITH THYRSOS AND TYMPANON",-425 to -375,RED-FIGURE,,,
9003747,"LD: YOUTH (DIONYSOS OR SATYR ?), MAENAD, TYMPANON",-425 to -375,RED-FIGURE,,,
9004176,"SATYRS, ONE WITH THYRSOS AND DRINKING HORN, MAENAD, EROS",-400 to -300,RED-FIGURE,"RUSSIA, SOUTH, KERCH, MT. MITHRIDATES",36.4701,45.3507
9004177,OV: EROS WITH TYMPANON,-400 to -300,RED-FIGURE,"RUSSIA, SOUTH, KERCH, MT. MITHRIDATES",36.4701,45.3507
9004178,SEA HORSE (?),-400 to -300,RED-FIGURE,"RUSSIA, SOUTH, KERCH, MT. MITHRIDATES",36.4701,45.3507
9018513,"A: EUROPA RIDING BULL OVER THE SEA, FISH, BETWEEN YOUTH SEATED WITH STAFF AND HYAKINTHOS (?) RIDING SWAN | B: SPHINX BETWEEN SATYRS",-400 to -300,RED-FIGURE,,,
9021771,A: EUROPA OR MAENAD ON BULL,,BLACK-FIGURE,,,
9025894,"EUROPA AND THE BULL, OR MAENAD RIDING BULL, GRAPE VINES, INSCRIPTION (NONSENSE ?)",,BLACK-FIGURE,,,
9028442,"A: HERAKLES AND THE LION, TREE WITH QUIVER AND CLOTH SUSPENDED, NONSENSE INSCRIPTION | B: EUROPA AND THE BULL | NA: ANIMAL FRIEZE, LION, PANTHER, DEER | UH1: IOLAOS WITH CLUB | UH2: ATHENA",,BLACK-FIGURE,,,
9028612,BD: EUROPA ON THE BULL,,BLACK-FIGURE,,,
9029560,A1: EUROPA AND THE BULL | AB2: INSCRIPTION BETWEEN PALMETTES | B1: TRITON,,BLACK-FIGURE,,,
9032553,"A,B: WOMAN (EUROPA OR MAENAD) RIDING ON BULL | PR: ANIMAL FRIEZE, LIONS, BOARS",,BLACK-FIGURE,,,
9032805,"A: HERAKLES PLAYING KITHARA BETWEEN ATHENA WITH PANTHER AND DIONYSOS WITH KANTHAROS AND GRAPE VINE | B: WOMAN (EUROPA OR MAENAD) ON BULL, VINE",,BLACK-FIGURE,,,
9032809,"A,B: WOMAN (EUROPA OR MAENAD) ON BULL, VINE",,BLACK-FIGURE,,,
